"Service","Relational Database Service($)","VPC($)","Elastic Load Balancing($)","EC2-Other($)","Config($)","CloudWatch($)","WAF($)","DynamoDB($)","Secrets Manager($)","Key Management Service($)","S3($)","SQS($)","CloudTrail($)","Lambda($)","SNS($)","EC2-Instances($)","Elastic File System($)","CloudFormation($)","Security Hub($)","Tax($)","Total costs($)"
"Service total","6.5749498562","4.2232875","4.0784728202","2.9468395849","1.9","1.3951855491","0.8650561644","0.2068025","0.1807867201","0.139646858","0.0435248585","0.0379312","0.017765","0.0006928492","0.0001162396","0.000076905","6.21e-8","0","0","0","22.6111346673"
"2024-10-01","","","","","","","","","","","","","","","","","","","","","0"
"2024-11-01","","","","","","","","","","","","","","","","","","","","","0"
"2024-12-01","","","","","","","","","","","","","","","","","","","","","0"
"2025-01-01","6.5749498562","4.2232875","4.0784728202","2.9468395849","1.9","1.3951855491","0.8650561644","0.2068025","0.1807867201","0.139646858","0.0435248585","0.0379312","0.017765","0.0006928492","0.0001162396","0.000076905","0.0000000621","0","0","0","22.6111346673"
