"Service","Relational Database Service($)","VPC($)","Elastic Load Balancing($)","EC2-Other($)","S3($)","CloudWatch($)","WAF($)","GuardDuty($)","EC2-Instances($)","SES($)","Security Hub($)","Lambda($)","SQS($)","Config($)","CloudTrail($)","Secrets Manager($)","Key Management Service($)","CloudWatch Events($)","API Gateway($)","Backup($)","DynamoDB($)","Elastic File System($)","SNS($)","Step Functions($)","Textract($)","Cost Explorer($)","X-Ray($)","CloudFormation($)","CloudFront($)","Tax($)","Glue($)","Total costs($)"
"Service total","12669.7328604402","4595.5294632846","3163.3812807527","1635.894507566","1628.5759501167","684.9689723074","324.154270185","200.4550502929","108.7675483353","86.8219584278","70.767418","70.5540887608","34.1581926214","31.05714","25.91789123","21.6847871278","20.8242976144","18.409165019","10.9261441897","10.4882803957","8.6867508293","5.4815243898","0.6755429396","0.486575012","0.1188","0.0744","0.0000924","0","0","0","0","25428.5929522381"
"2024-10-01","2104.8933732308","1199.0374859869","794.3743448345","438.969088467","384.9466823444","164.7464405302","91.0391133383","53.1736382863","9.3850953511","26.7803332809","18.43725","10.4556555905","9.2670261529","9.28791","7.52089512","5.6179035","5.66048429","5.3942831158","3.2951102062","2.6577847137","2.19079635","1.3908133826","0.1789359662","0.1277355","","0.0744","0","0","0","0","","5348.9025795383"
"2024-11-01","3488.7371075549","1140.3245318513","789.9944537286","403.8895882343","402.7083567184","157.6448666278","78.944342904","49.1523514568","9.3778557918","20.9829568313","17.726916","20.9640942853","8.25936377","9.40509","6.20974857","5.62881725","5.2238918324","4.4109783917","2.62582985","2.657796002","2.1762065099","1.3884530104","0.1605332584","0.10808925","","","0","","0","0","","6628.7022196793"
"2024-12-01","3610.4234963908","1156.9052858289","811.5023741242","398.9419381402","422.8286719248","167.5289724639","78.4237206859","49.1371256274","8.7800848085","20.0477165946","17.914404","20.1482118279","8.4295973388","6.25518","6.15218994","5.4705577","5.09719294","4.3492462953","2.5799908345","2.6577959678","2.1781799694","1.3884530232","0.1754860721","0.1033472901","","","","0","0","0","0","6807.4192197883"
"2025-01-01","3465.6788832637","1099.2621596175","767.5101080654","394.0938927245","418.0922391291","195.0486926855","75.7470932568","48.9919349224","81.2245123839","19.010951721","16.688848","18.9861270571","8.2022053597","6.10896","6.0350576","4.9675086778","4.842728552","4.2546572162","2.425213299","2.5149037122","2.141568","1.3138049736","0.1605876429","0.1474029719","0.1188","","0.0000924","","0","0","0","6643.5689332322"
