"Service","Relational Database Service($)","S3($)","Elastic Load Balancing($)","EC2-Other($)","CloudWatch($)","VPC($)","Route 53($)","GuardDuty($)","Direct Connect($)","Lambda($)","WAF($)","EC2-Instances($)","Security Hub($)","SES($)","SQS($)","CloudTrail($)","CloudWatch Events($)","Config($)","Key Management Service($)","Secrets Manager($)","Step Functions($)","DynamoDB($)","Elastic File System($)","API Gateway($)","End User Messaging($)","CloudFront($)","SNS($)","Cost Explorer($)","X-Ray($)","SimpleDB($)","CloudFormation($)","Glue($)","Tax($)","Total costs($)"
"Service total","15129.2228694117","6908.8843999338","2571.9835281074","1996.4227371888","1797.3577850396","1649.5789311684","686.3311759786","346.013889572","193.86903414","156.7109716776","97.9566653569","83.8121449741","79.973304","63.8028439957","55.548796921","53.73438909","48.7225207266","37.16559","27.5554432236","17.3194907427","9.8741140557","8.6468909925","6.6139594796","4.7636025928","3.720000024","0.5301","0.4802902004","0.0744","0.0404178","7.4e-8","0","0","0","32036.7102864675"
"2024-10-01","3811.844067048","1702.6897768656","647.879914647","517.1311163205","457.5371228956","410.9235207343","172.9775349501","87.9149281181","54.713125312","23.803545264","24.5234707572","9.965468434","21.449892","18.9456617004","15.1801447948","15.65407248","14.2932647078","13.61799","7.12828905","4.2485578","2.9567955","2.17623534","1.6450958233","1.4005062294","0.93","0.1674","0.1457714976","0.0744","0.0094488","0.000000074","0","0","0","8041.9271171437"
"2024-11-01","3385.5744319228","1717.6275943866","622.9815330577","489.5211195383","442.9471106727","404.3700861137","167.3972997718","85.5548707997","44.9725187251","41.9815981535","24.4562166519","8.8496257956","20.019924","15.3548844854","13.2544989687","12.77079906","11.7283256354","11.28555","6.8378170836","4.5247558427","2.2118655","2.089152","1.658287582","1.1391143173","0.930000024","0","0.1042524011","","0.00700755","","","0","0","7540.1502400396"
"2024-12-01","3589.1736170453","1735.4777047064","641.2319264","493.76770019","444.3365801954","416.7941591439","172.98","83.8110655906","43.2249654271","38.6476800812","24.4310395529","8.5150436068","19.076346","14.2693692055","12.8818910749","11.94500463","11.0007719828","5.33169","6.74392845","4.38524335","1.9808320557","2.1762378975","1.6550693886","1.0487663777","0.93","0","0.1129494465","","0.007347","","0","0","0","7785.9369287988"
"2025-01-01","4342.6307533956","1753.0893239752","659.8901540027","496.00280114","452.5369712759","417.4911651765","172.9763412567","88.7330250636","50.9584246758","52.2781481789","24.5459383949","56.4820071377","19.427142","15.2329286044","14.2322620826","13.36451292","11.7001584006","6.93036","6.84540864","4.16093375","2.724621","2.205265755","1.6555066857","1.1752156684","0.93","0.3627","0.1173168552","","0.01661445","","0","0","0","8668.6960004854"
