"Service","EC2-Instances($)","FSx($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","Relational Database Service($)","EC2-Other($)","Directory Service($)","VPC($)","S3($)","Step Functions($)","GuardDuty($)","CloudWatch($)","Lambda($)","DynamoDB($)","API Gateway($)","Key Management Service($)","Security Hub($)","CloudTrail($)","SQS($)","Config($)","Secrets Manager($)","SNS($)","Tax($)","Total costs($)"
"Service total","7173.1136154864","6463.2242005761","1285.8309286852","1226.6104821948","812.2612053111","687.8918134286","329.281141548","291.5602680685","282.1255259791","215.964507","124.0356414354","93.8062237902","52.5578261001","31.7741201888","30.8259651091","29.5906094718","28.39941","14.30093922","11.742129408","11.31624","2.262445876","0.1940094983","0","19198.6692483755"
"2024-10-01","623.3105900539","1609.2816871051","364.3048198556","484.344","60.5239110772","155.0344204518","83.021942952","73.4906232384","68.8978632531","48.1697685","29.5216458834","21.4461823887","6.1674479417","12.5819693294","7.5151404598","6.90667146","6.642432","3.03902238","2.936651328","2.56959","0.0337347","0.0698661561","0","3669.8099805142"
"2024-11-01","2169.3316767329","1612.1787990222","227.6217623147","465.4984821948","83.9979214473","145.1306767122","80.1951868565","71.1183605358","62.6406037207","41.21315925","29.1325528625","19.4308790422","14.3637785699","5.609135012","7.3929374973","6.3508386318","7.060746","2.5593972","2.81939544","3.4875","0.744557976","0.025696961","0","5057.9040439798"
"2024-12-01","1630.2018504363","1620.7511127624","350.6490033248","138.384","145.126262394","205.9885456983","82.9574937815","73.6126583909","60.8923143148","61.7014545","31.0658816051","25.4801181225","15.6233268974","6.5718611326","7.9394429826","8.037744","7.392384","3.76929093","2.986277616","2.59749","0.7435766","0.0705164339","0","4482.5426059231"
"2025-01-01","2750.2694982633","1621.0126016864","343.2553431901","138.384","522.6131103926","181.7381705663","83.106517958","73.3386259034","89.6947446905","64.88012475","34.3155610844","27.4490442368","16.4032726911","7.0111547148","7.9784441694","8.29535538","7.303848","4.93322871","2.999805024","2.66166","0.7405766","0.0279299473","0","5988.4126179584"
